index,Case,Test,QL_bpd,TargetRPM,TargetP_psi,RPM,TargetVISL_cp,DP_psi,Ns,D_in,DENL_kgm3,WR_%,WC,Head_ft,exp_Ns,BHP_hp,VISL_cP_real,QL_round,eff_%,R2_m,Ptank_psi,Tin_F,QG_bpd,Pump,Comments
92,DN1750_Banjar,Emulsion,225.5307664,2000,100,2000,90,2.31889929,2185,4,904.4635689,30.15067112,0.3,5.921107047,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
93,DN1750_Banjar,Emulsion,231.6465598,2000,100,2000,90,2.41027781,2185,4,893.078987,20.63142111,0.2,6.232888172,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
94,DN1750_Banjar,Emulsion,234.8288098,2000,100,2000,90,2.30393777,2185,4,904.4509016,30.05717444,0.3,5.882986504,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
95,DN1750_Banjar,Emulsion,237.7141126,2000,100,2000,90,3.37264857,2185,4,943.9252847,60.70001832,0.6,8.251740733,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
96,DN1750_Banjar,Emulsion,238.1800471,2000,100,2000,90,2.31087764,2185,4,904.4072101,30.10115241,0.3,5.900992166,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
97,DN1750_Banjar,Emulsion,238.4785893,2000,100,2000,90,2.29292978,2185,4,904.53227,30.09708119,0.3,5.854351485,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
98,DN1750_Banjar,Emulsion,239.5415561,2000,100,2000,90,2.29940819,2185,4,904.4190386,30.06381994,0.3,5.871627307,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
99,DN1750_Banjar,Emulsion,242.2363249,2000,100,2000,90,2.30210437,2185,4,904.9310727,30.37216805,0.3,5.875185888,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
100,DN1750_Banjar,Emulsion,257.498607,2000,100,2000,90,2.33509687,2185,4,893.0401087,20.62012697,0.2,6.03873596,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
101,DN1750_Banjar,Emulsion,276.436086,2000,100,2000,90,2.28888375,2185,4,892.9138088,20.53550525,0.2,5.920062615,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
102,DN1750_Banjar,Emulsion,289.5000263,2000,100,2000,90,2.27331305,2185,4,892.9706604,20.60945642,0.2,5.879415579,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
103,DN1750_Banjar,Emulsion,298.103557,2000,100,2000,90,2.23315848,2185,4,892.8962787,20.57365897,0.2,5.776045894,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
104,DN1750_Banjar,Emulsion,303.372048,2000,100,2000,90,2.22861462,2185,4,892.8985489,20.60351715,0.2,5.764278582,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
105,DN1750_Banjar,Emulsion,305.6292796,2000,100,2000,90,2.22100623,2185,4,892.9585599,20.69387752,0.2,5.744213531,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
106,DN1750_Banjar,Emulsion,311.6672952,2000,100,2000,90,2.2017995,2185,4,893.1513847,20.85999591,0.2,5.693309539,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
107,DN1750_Banjar,Emulsion,311.7479228,2000,100,2000,90,2.20505722,2185,4,893.1219922,20.85624058,0.2,5.701920841,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
108,DN1750_Banjar,Emulsion,312.681371,2000,100,2000,90,2.20636991,2185,4,893.1383735,20.84537205,0.2,5.705210602,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
109,DN1750_Banjar,Emulsion,350.8722574,2000,100,2000,90,3.20671836,2185,4,947.6691079,63.53740398,0.6,7.814769957,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
110,DN1750_Banjar,Emulsion,454.0098682,2000,100,2000,90,3.11268277,2185,4,947.0732169,63.06997896,0.6,7.590378106,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
111,DN1750_Banjar,Emulsion,559.6178566,2000,100,2000,90,2.87626719,2185,4,945.933476,62.18059077,0.6,7.022321937,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
112,DN1750_Banjar,Emulsion,661.9016149,2000,100,2000,90,2.55287345,2185,4,944.9554077,61.43446893,0.6,6.239216784,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
113,DN1750_Banjar,Emulsion,717.2605741,2000,100,2000,90,2.31031949,2185,4,942.2887882,59.38927612,0.6,5.662394478,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
114,DN1750_Banjar,Emulsion,731.7991873,2000,100,2000,90,2.30790259,2185,4,944.4201582,61.00548403,0.6,5.643705325,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
115,DN1750_Banjar,Emulsion,805.623828,2000,100,2000,90,2.06441129,2185,4,943.0484313,59.96531384,0.6,5.05561894,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
116,DN1750_Banjar,Emulsion,866.2926727,2000,100,2000,90,1.86016606,2185,4,943.105891,60.0088793,0.6,4.555157126,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
117,DN1750_Banjar,Emulsion,910.8368026,2000,100,2000,90,1.75901118,2185,4,943.5613606,60.35426442,0.6,4.305370745,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
118,DN1750_Banjar,Emulsion,943.0254822,2000,100,2000,90,1.65683143,2185,4,942.2555592,59.36407849,0.6,4.06089462,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
119,DN1750_Banjar,Emulsion,957.1375327,2000,100,2000,90,1.59529939,2185,4,942.4085244,59.48007055,0.6,3.909444904,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
120,DN1750_Banjar,Emulsion,958.1278843,2000,100,2000,90,1.59846298,2185,4,942.5492152,59.58675741,0.6,3.916612901,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
121,DN1750_Banjar,Viscosity,49.05538346,2000,100,2000,98,2.7985,2185,4,863.6584279,0,0,7.483338656,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
122,DN1750_Banjar,Viscosity,57.60745424,2000,100,2000,98,2.85603125,2185,4,863.5780426,0,0,7.637891194,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
123,DN1750_Banjar,Viscosity,77.57258074,2000,100,2000,98,2.805375,2185,4,863.5668877,0,0,7.502517974,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
124,DN1750_Banjar,Viscosity,119.9782114,2000,100,2000,98,2.80359375,2185,4,863.5934488,0,0,7.497523707,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
125,DN1750_Banjar,Viscosity,151.2782915,2000,100,2000,98,2.71865625,2185,4,863.7016823,0,0,7.269468123,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
126,DN1750_Banjar,Viscosity,202.8337723,2000,100,2000,98,2.5540625,2185,4,863.7358099,0,0,6.829087837,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
127,DN1750_Banjar,Viscosity,262.3411829,2000,100,2000,98,2.42328125,2185,4,863.5519105,0,0,6.480782946,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
128,DN1750_Banjar,Viscosity,307.1932935,2000,100,2000,98,2.30125,2185,4,863.7162694,0,0,6.153253464,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
129,DN1750_Banjar,Viscosity,347.7133653,2000,100,2000,98,2.23803125,2185,4,863.6053447,0,0,5.984983102,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
130,DN1750_Banjar,Viscosity,382.4303971,2000,100,2000,98,2.14065625,2185,4,863.6612361,0,0,5.724210676,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
131,DN1750_Banjar,Viscosity,415.7233731,2000,100,2000,98,2.079875,2185,4,863.557605,0,0,5.56234632,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
132,DN1750_Banjar,Viscosity,425.8264708,2000,100,2000,98,2.0351875,2185,4,863.6453229,0,0,5.442282791,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
